cluster_id	uri	labels	roleTypes	eventTypes
32	https://archief.amsterdam/indexen/deeds/da325774-8aa1-403a-8e87-de41ca03df4b?person=961f6b1d-aa69-53f7-e053-b784100aa83b	Hendrik van Beek; Beeck, Hendrik van	https://data.goldenagents.org/thesaurus/Bruidegom, https://data.goldenagents.org/thesaurus/Vader	https://data.goldenagents.org/thesaurus/Ondertrouw, https://data.goldenagents.org/thesaurus/Doop
36	https://data.goldenagents.org/datasets/jaikwil/records/75696-groom-witness-1	Willem van der Schep	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Ondertrouw
36	https://data.goldenagents.org/datasets/jaikwil/records/76991-groom-witness-1	Willem van der Schep	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Ondertrouw
36	https://archief.amsterdam/indexen/deeds/e2710532-27ee-402f-a09a-c88593c7d64b?person=961f6acd-cef9-53f7-e053-b784100aa83b	Willem van der Schep	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
43	https://archief.amsterdam/indexen/deeds/ccd7a373-7f0c-4247-a0cd-f7e57c8091b5?person=961f6b09-5bfc-53f7-e053-b784100aa83b	Frans der Kinderen	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
43	https://archief.amsterdam/indexen/deeds/5335b51e-f6ac-4f85-b729-039a3988c75a?person=961f6af9-8cf5-53f7-e053-b784100aa83b	Frans der Kinderen	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
43	https://archief.amsterdam/indexen/deeds/651df49e-d896-4de7-9bcc-6f3126da45ea?person=961f6adc-f4f2-53f7-e053-b784100aa83b	Frans der Kinderen	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
48	https://archief.amsterdam/indexen/deeds/b5229548-6377-4924-b3a7-e07cfa91c412?person=961f6ad5-562a-53f7-e053-b784100aa83b	Willemina Cornelia	https://data.goldenagents.org/thesaurus/Kind	https://data.goldenagents.org/thesaurus/Doop
48	https://archief.amsterdam/indexen/deeds/a3cb51cc-d329-50ee-e053-b784100a6caf?person=eeb2f1df-a294-98c1-d64a-057a58431e6f	Willemina Cornelia van den Berg	https://data.goldenagents.org/thesaurus/Geregistreerde	https://data.goldenagents.org/thesaurus/Boedelinventaris
51	https://archief.amsterdam/indexen/deeds/9cb0c56c-ae59-4d57-9d2b-4aa700de6392?person=961f6ae3-406e-53f7-e053-b784100aa83b	Anna Elisabeth Lóhoff	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
51	https://archief.amsterdam/indexen/deeds/be21cc0f-3a35-4032-be6e-364e5411f768?person=961f6ad5-398c-53f7-e053-b784100aa83b	Anna Elisabeth Lohof	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
51	https://archief.amsterdam/indexen/deeds/cb5c239c-3e92-47f6-903a-bcab8fee3fd4?person=961f6af3-56d4-53f7-e053-b784100aa83b	Anna Elisabeth Lohoff	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
53	https://archief.amsterdam/indexen/deeds/28c9a8db-57d8-4d38-894f-7e174b21b989?person=961f6adb-f535-53f7-e053-b784100aa83b	Dina Vockestaert	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
53	https://archief.amsterdam/indexen/deeds/04418b02-f4e0-47b0-b0e2-13bb0b0a8ffa?person=961f6b00-e338-53f7-e053-b784100aa83b	Dina Vockestaart	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
53	https://archief.amsterdam/indexen/deeds/d3a430f7-6141-470a-a1d9-690ce4bc1571?person=961f6ae4-133a-53f7-e053-b784100aa83b	Dina Vockestaart	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
53	https://archief.amsterdam/indexen/deeds/b42957ae-796d-48ef-b51a-d7aeaeec76e2?person=961f6aea-d7e2-53f7-e053-b784100aa83b	Dina Voekestaart	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
56	https://archief.amsterdam/indexen/deeds/5d3482e8-d3ec-41c6-8e81-40d80d763ee4?person=961f6af2-ad04-53f7-e053-b784100aa83b	Winanda van Frents	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
56	https://archief.amsterdam/indexen/deeds/9c5004ba-2121-4f97-899f-5580fd8d51b6?person=961f6ace-18fe-53f7-e053-b784100aa83b	Winanda van Frents	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
60	https://archief.amsterdam/indexen/deeds/771a2377-52bf-4ce6-8f44-a5565a9f0822?person=961f6ad4-d213-53f7-e053-b784100aa83b	Anna Maria de Bock	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
60	https://archief.amsterdam/indexen/deeds/3dc12c75-ff32-45b1-a517-6757275af829?person=961f6afa-2430-53f7-e053-b784100aa83b	Anna Maria de Bock	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
60	https://archief.amsterdam/indexen/deeds/8f841804-e9ac-46c0-9e52-5d86c3a13673?person=961f6ace-1906-53f7-e053-b784100aa83b	Anna Maria de Bock	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
62	https://archief.amsterdam/indexen/deeds/f088683e-4ddf-4df1-8eca-053ad3b058fc?person=961f6add-998c-53f7-e053-b784100aa83b	Abraham Terborg	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
62	https://archief.amsterdam/indexen/deeds/a3cb51cc-5ba5-50ee-e053-b784100a6caf?person=d3ffcc7b-d8b1-14ab-4614-98985202f77c	Abraham ter Borg	https://data.goldenagents.org/thesaurus/Geregistreerde	https://data.goldenagents.org/thesaurus/Boedelinventaris
62	https://archief.amsterdam/indexen/deeds/d4959592-a161-42cd-9182-dc809c4d0f5d?person=961f6ace-a914-53f7-e053-b784100aa83b	Abraham ter Borgh	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
66	https://archief.amsterdam/indexen/deeds/a3cb51cc-5ba5-50ee-e053-b784100a6caf?person=a11c1e8a-e00e-5f43-090b-ec8ae962619c	Pieter Pekstok	https://data.goldenagents.org/thesaurus/Geregistreerde	https://data.goldenagents.org/thesaurus/Boedelinventaris
66	https://archief.amsterdam/indexen/deeds/9d6d21e1-e5c2-666d-e053-b784100a1840?person=455b8c34-1ac6-ae7f-029a-f766d02441f4	Pieter Pekstok	https://data.goldenagents.org/thesaurus/Geregistreerde	https://data.goldenagents.org/thesaurus/Boedelinventaris
66	https://archief.amsterdam/indexen/deeds/b540feb1-b58d-4407-a5d1-cd4b8a545914?person=961f6b11-2e3d-53f7-e053-b784100aa83b	Pieter Pekstok	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
72	https://archief.amsterdam/indexen/deeds/4dea0e59-31c1-419c-9738-fdc29b84e2f7?person=961f6b0a-9966-53f7-e053-b784100aa83b	Jan Makreel	https://data.goldenagents.org/thesaurus/Getuige	https://data.goldenagents.org/thesaurus/Doop
72	https://archief.amsterdam/indexen/deeds/a3cb51cc-cd7a-50ee-e053-b784100a6caf?person=1f69dc52-191e-4c47-f39b-92aa5f5c8bff	Jan Makreel	https://data.goldenagents.org/thesaurus/Geregistreerde	https://data.goldenagents.org/thesaurus/Boedelinventaris
72	https://archief.amsterdam/indexen/deeds/b21a5c6e-8e5b-6a83-e053-b784100a6e32?person=81fa0faf-4469-c8df-7ea2-fdf12cae00c1	Jan Makreel	https://data.goldenagents.org/thesaurus/Geregistreerde	https://data.goldenagents.org/thesaurus/Boedelinventaris
