c,location,Standardized_Location1,Type_Location1,Link_Location_1_Adamlink,Link_Location_1_Wikidata,Standardized_Location2,Type_Location2,Link_Location_2_Adamlink,Link_Location_2_Wikidata,religion,Location1_Religion1,Location1_Religion2,Location2_Religion1,Location2_Religion2,Remark
25427,https://data.goldenagents.org/thesaurus/OudeWaalseKerk,Waalse Kerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/walenkerk/327,,,,,,https://data.goldenagents.org/thesaurus/WaalsHervormd,https://www.wikidata.org/entity/Q2244918,,,,
18808,https://data.goldenagents.org/thesaurus/KerkDePosthoorn,Posthoornkerk,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/posthoornkerk/181,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,
15098,https://data.goldenagents.org/thesaurus/FranschOfWaalschGereformeerdeKerk,Waalse Kerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/walenkerk/327,,,,,,,https://www.wikidata.org/entity/Q2244918,,,,
14573,https://data.goldenagents.org/thesaurus/OudeLutherscheKerk,Oude Lutherse Kerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/oude-lutherse-kerk/1230,,,,,,,https://www.wikidata.org/entity/Q75809,,,,
13493,https://data.goldenagents.org/thesaurus/Oosterkerk,Oosterkerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/oosterkerk/400,,,,,,https://data.goldenagents.org/thesaurus/Hervormd,https://www.wikidata.org/entity/Q515880,,,,
13261,https://data.goldenagents.org/thesaurus/OudeZijdsKapel,Oudezijds Kapel,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/sint-olofskapel/174,,,,,,,https://www.wikidata.org/entity/Q515880,https://www.wikidata.org/entity/Q1841,,,
12178,https://data.goldenagents.org/thesaurus/KerkDeStar,Kerk De Star,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/augustinuskerk/653,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,
10834,https://data.goldenagents.org/thesaurus/KerkDeLely,Kerk De Lelie,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
10456,https://data.goldenagents.org/thesaurus/NieuweLutherscheKerk,Nieuwe Lutherse Kerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/koepelkerk/1,,,,,,,https://www.wikidata.org/entity/Q75809,,,,
9835,https://data.goldenagents.org/thesaurus/PortugeesIsraelitischeBegraafplaats,Portugees-Israëlitische Begraafplaats,http://www.wikidata.org/entity/Q846659,,http://www.wikidata.org/entity/Q831131,,,,,,https://www.wikidata.org/entity/Q110115795,,,,
9750,https://data.goldenagents.org/thesaurus/OosterKerk,Oosterkerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/oosterkerk/400,,,,,,,https://www.wikidata.org/entity/Q515880,,,,
9206,https://data.goldenagents.org/thesaurus/KerkDeToren,Kerk De Toren,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
8662,https://data.goldenagents.org/thesaurus/KerkStadhuisVanHoorn,Kerk Stadhuis van Hoorn,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,
7893,https://data.goldenagents.org/thesaurus/KerkDePool,Kerk De Pool,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/de-pool/647,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,
7804,https://data.goldenagents.org/thesaurus/KerkDeDuif,Kerk De Duif,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/de-duif/1237,,Kerk Het Vrededuifje,http://www.wikidata.org/entity/Q1817647,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,https://www.wikidata.org/entity/Q1841,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
7778,https://data.goldenagents.org/thesaurus/FranseKapel,Franse Kerk,http://www.wikidata.org/entity/Q1817647,https://www.adamlink.nl/geo/building/franse-kerk/1436,http://www.wikidata.org/entity/Q106775647,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,
7707,https://data.goldenagents.org/thesaurus/Eilandskerk,Eilandskerk,http://www.wikidata.org/entity/Q34627,https://adamlink.nl/geo/building/eilandskerk/638,,,,,,https://data.goldenagents.org/thesaurus/Hervormd,https://www.wikidata.org/entity/Q515880,,,,
5860,https://data.goldenagents.org/thesaurus/KerkBrouwersgracht,Kerk Op De Brouwersgracht,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/OudKatholiek,https://www.wikidata.org/entity/Q1841,https://www.wikidata.org/entity/Q5169816,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
5052,https://data.goldenagents.org/thesaurus/KerkOpHetKuiperspad,Kerk Op Het Kuiperspad,http://www.wikidata.org/entity/Q1817647,https://adamlink.nl/geo/building/willibrordus-buiten-de-veste/643,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,
5019,https://data.goldenagents.org/thesaurus/KerkDeKrijtberg,Kerk De Krijtberg,http://www.wikidata.org/entity/Q1817647,,,,,,,https://data.goldenagents.org/thesaurus/RoomsKatholiek,https://www.wikidata.org/entity/Q1841,,,,Kerk zou nog aan Adamlink kunnen worden toegevoegd
