c,location,religion
1360,https://data.goldenagents.org/thesaurus/KerkInHetJongenshuis,https://data.goldenagents.org/thesaurus/OudKatholiek
1178,https://data.goldenagents.org/thesaurus/KerkDeZon,https://data.goldenagents.org/thesaurus/Doopsgezind
1035,https://data.goldenagents.org/thesaurus/KerkDeOoijevaar,https://data.goldenagents.org/thesaurus/OudKatholiek
1023,https://data.goldenagents.org/thesaurus/KerkDePauw,https://data.goldenagents.org/thesaurus/OudKatholiek
630,https://data.goldenagents.org/thesaurus/Gasthuiskerk,https://data.goldenagents.org/thesaurus/HersteldEvangelischLuthers
501,https://data.goldenagents.org/thesaurus/RemonstrantseKerk,https://data.goldenagents.org/thesaurus/Remonstrant
382,https://data.goldenagents.org/thesaurus/EngelsEpiscopaalseKerk,https://data.goldenagents.org/thesaurus/EngelsEpiscopaals
348,https://data.goldenagents.org/thesaurus/WaalseKerk,https://data.goldenagents.org/thesaurus/WaalsHervormd
251,https://data.goldenagents.org/thesaurus/Eilandskerk,
243,https://data.goldenagents.org/thesaurus/KerkDeArkeNoachs,https://data.goldenagents.org/thesaurus/Doopsgezind
92,https://data.goldenagents.org/thesaurus/KerkDeKruikjes,https://data.goldenagents.org/thesaurus/Doopsgezind
81,https://data.goldenagents.org/thesaurus/RegisterVanHetRegimentOranjeNassau,
64,https://data.goldenagents.org/thesaurus/Westerkerk,
39,https://data.goldenagents.org/thesaurus/Paleiskapel,https://data.goldenagents.org/thesaurus/RoomsKatholiek
33,https://data.goldenagents.org/thesaurus/GrieksKatholiekeKerk,https://data.goldenagents.org/thesaurus/GrieksKatholiek
19,https://data.goldenagents.org/thesaurus/OudezijdsKapel,
11,https://data.goldenagents.org/thesaurus/OudeLutherseKerk,https://data.goldenagents.org/thesaurus/EvangelischLuthers
4,https://data.goldenagents.org/thesaurus/RegisterVanOverledenenInHetGastEnPesthuis,
2,https://data.goldenagents.org/thesaurus/DoodenboekenOfRegistersVanHaaldooden,
1,https://data.goldenagents.org/thesaurus/LutherseKerk,https://data.goldenagents.org/thesaurus/Hervormd
1,https://data.goldenagents.org/thesaurus/NieuweLutherseKerk,https://data.goldenagents.org/thesaurus/EvangelischLuthers
1,https://data.goldenagents.org/thesaurus/OudezijdsKapel,https://data.goldenagents.org/thesaurus/EvangelischLuthers
1,https://data.goldenagents.org/thesaurus/KkhKarthuizerKerkhof,
